Year,player,College,POS_GP,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Kris Abrams-Draine,missouri,DB,CB,71.38,179,8.63,31,NA,4.44,NA,33.5,115,4.41,7.15,NA,4429193
2024,Isaiah Adams,illinois,OL,OG,76.25,315,9,33.88,NA,5.22,22,24.5,102,4.73,7.77,NA,NA
2024,Rasheen Ali,marshall (wv),RB,RB,71.25,206,8.63,31.25,NA,NA,NA,NA,NA,NA,NA,NA,4690013
2024,Erick All,iowa,TE,TE,76.38,252,10.13,33,NA,NA,NA,NA,NA,NA,NA,NA,4427834
2024,Braelon Allen,wisconsin,RB,RB,73.25,235,9.25,31.25,NA,NA,26,32,117,NA,NA,NA,4685247
2024,Joe Alt,notre dame,OL,OT,80.63,321,10,34.25,NA,5.05,27,28,112,4.51,7.31,NA,4683487
2024,Kiran Amegadjie,yale,OL,OT,77.38,323,9.63,36.13,NA,NA,21,NA,NA,NA,NA,NA,NA
2024,Daijahn Anthony,mississippi,DB,SS,72,195,9,32.5,NA,4.55,10,37,116,4.19,6.89,NA,4874448
2024,Terrion Arnold,alabama,DB,CB,71.75,189,8.88,31.63,NA,4.5,NA,37,129,6.69,NA,NA,4592837
2024,Gottlieb Ayedze,maryland,OL,OG,76.13,308,9.88,33,NA,5.01,21,26.5,112,NA,7.71,NA,NA
2024,Emani Bailey,texas christian,RB,RB,67.38,202,9.75,29.88,NA,4.61,NA,33.5,116,4.5,7.28,NA,4565761
2024,Javon Baker,central florida,WR,WR,73.25,202,9.63,32.25,NA,4.54,NA,37,121,NA,NA,NA,4692022
2024,AJ Barner,michigan,TE,TE,78,251,9,33.38,NA,4.86,22,34.5,117,4.41,7.02,NA,4576297
2024,Karsen Barnhart,michigan,OL,OG,76.5,306,9.88,33.38,NA,5.21,22,29.5,111,4.7,7.83,NA,NA
2024,Michael Barrett,michigan,LB,ILB,71.38,233,8.5,32.13,NA,4.72,NA,31,NA,4.55,NA,NA,4372062
2024,Graham Barton,duke,OL,C,77.38,313,9.38,32.88,NA,4.97,NA,NA,NA,4.55,7.31,NA,4429251
2024,Cooper Beebe,kansas state,OL,OG,75.25,322,9.25,31.5,NA,5.03,20,27.5,109,4.61,7.44,NA,4426663
2024,Jaheim Bell,florida state,FB,FB,74,241,10,33,NA,4.61,NA,35,124,NA,NA,NA,4429262
2024,Trey Benson,florida state,RB,RB,72.25,216,9.25,31.5,NA,4.39,23,33.5,122,NA,NA,NA,4429275
2024,JD Bertrand,notre dame,LB,ILB,72.88,235,9.75,30.63,NA,NA,20,NA,NA,NA,NA,NA,4428872
2024,Tatum Bethune,florida state,LB,ILB,71.5,229,10,32.38,NA,4.77,16,30.5,115,4.35,7.03,NA,4426698
2024,Keaton Bills,utah,OL,OG,76.5,321,10,32.5,NA,5.38,24,29.5,101,4.9,7.95,NA,4426706
